base_month,target_month,ref_month,USDJPY_pred_center_min,USDJPY_pred_center_max,USDJPY_pred_center_mid,USDJPY_pred_risk_lower,USDJPY_pred_risk_upper,USDJPY_actual,USDJPY_error_pct,USDTRY_pred_center_min,USDTRY_pred_center_max,USDTRY_pred_center_mid,USDTRY_pred_risk_lower,USDTRY_pred_risk_upper,USDTRY_actual,USDTRY_error_pct,TRYJPY_pred_center_min,TRYJPY_pred_center_max,TRYJPY_pred_center_mid,TRYJPY_pred_risk_lower,TRYJPY_pred_risk_upper,TRYJPY_actual,TRYJPY_error_pct
2022-12,2023-01,2022-11,128.16583107243954,134.09358333485233,131.12970720364592,124.40654334784797,137.85287105944388,130.34,0.6058824640524151,18.342361409536252,19.67084992840546,19.006605668970856,18.032116157935963,19.98109518000575,18.78,1.2066329551163733,6.51552075985101,7.310595421216411,6.913058090533711,6.5586180229209035,7.267498158146518,6.940362087326943,-0.3934088229069435
2023-01,2023-02,2022-12,125.85949034711149,127.42732562619821,126.64340798665485,120.15026161038293,133.13655436292677,133.09,-4.843783915654935,18.129288945141372,19.079314046269594,18.604301495705485,17.65043856071056,19.558164430700412,18.85,-1.303440341084967,6.671638716501122,6.944399482796984,6.808019099649053,6.4589644962611334,7.157073703036973,7.060477453580901,-3.5756555500904184
2023-02,2023-03,2023-01,129.68755861040262,135.89800859400486,132.79278360220374,125.98435199609465,139.60121520831285,133.63,-0.6265182951405032,18.878417627668036,19.547709169654162,19.2130633986611,18.227988573469684,20.198138223852514,18.99,1.1746361172253839,6.634412118824104,7.198591072317099,6.916501595570601,6.561884975679177,7.2711182154620255,7.0368615060558195,-1.7104203398296027
2023-03,2023-04,2023-02,130.36015861926492,134.17217843316442,132.26616852621467,125.48473705241967,139.04760000000968,133.45,-0.8870973951182602,19.09244565281213,19.373938293464136,19.233191973138133,18.247085133864793,20.219298812411473,19.34,-0.5522648751906232,6.750331472616997,7.0275008698742685,6.888916171245633,6.535713886303347,7.242118456187919,6.900206825232678,-0.1636277617905176
2023-04,2023-05,2023-03,131.18939772553136,133.2702299872216,132.2298138563765,125.45024632636249,139.00938138639052,135.87,-2.679168428367932,19.660058523624624,19.841621948391825,19.750840236008223,18.73819300276039,20.763487469256056,19.74,0.05491507602950599,6.659067069433234,6.778730074840653,6.718898572136943,6.374413275904179,7.063383868369708,6.882978723404256,-2.3838538205761037
2023-05,2023-06,2023-04,134.3621653838699,138.33387166166187,136.34801852276587,129.35730612440523,143.3387309211265,141.43,-3.5932839406307973,20.11405119329431,20.6677694334764,20.390910313385355,19.34544598551291,21.4363746412578,23.54,-13.377611243052865,6.501048205339382,6.87747437511644,6.689261290227911,6.346295529932228,7.032227050523594,6.008071367884453,11.337913294184407
2023-06,2023-07,2023-05,146.01491359479195,155.89601939049544,150.9554664926437,143.21581422161168,158.6951187636757,141.25,6.871126720455713,26.809307120735003,28.894271114411282,27.85178911757314,26.423797353481348,29.279780881664934,26.43,5.37945182585373,5.252603773412485,5.446426233144245,5.3495150032783645,5.075239503980293,5.623790502576436,5.344305713204692,0.09747365426347783
2023-07,2023-08,2023-06,141.0702159094614,148.69451800860588,144.88236695903365,137.45408915949054,152.31064475857676,145.31,-0.29429016651734624,28.801024287936592,29.631785924988957,29.216405106462773,27.718447984488357,30.71436222843719,26.92,8.530479593100933,4.760773321816376,5.093585672955024,4.9271794973856995,4.674557602513267,5.179801392258132,5.397845468053491,-8.719515470633098
2023-08,2023-09,2023-07,144.19719441125665,149.4866840962093,146.84193925373296,139.31319203421253,154.3706864732534,147.59,-0.5068505632272128,27.38219808862801,28.515162243574125,27.948680166101067,26.515720691722226,29.381639640479907,26.99,3.551982831052494,5.056860388151969,5.4592653085178,5.258062848334884,4.988476201286714,5.527649495383054,5.468321600592812,-3.845032673922006
2023-09,2023-10,2023-08,144.74947208353026,149.905760563494,147.32761632351213,139.77396790813944,154.88126473888482,149.53,-1.4728707794341398,27.02630892449677,27.736037249770337,27.381173087133554,25.97731032289453,28.785035851372577,27.86,-1.7186895652061929,5.218823106560719,5.546660514474425,5.382741810517572,5.1067627363832715,5.658720884651873,5.367193108399139,0.28969895072531104
