base_month,target_month,pred_USDJPY,actual_USDJPY,error_pct_USDJPY,pred_USDTRY,actual_USDTRY,error_pct_USDTRY,pred_TRYJPY,actual_TRYJPY,error_pct_TRYJPY,regime_factor,is_regime_period,regime_description,recommendation
2022-12,2023-01,132.4758676279935,130.34,1.6386892956832062,18.76814794734183,18.78,-0.06310997155575326,7.0585477053827415,6.94036208732694,1.7028739505047998,1.0,No,,NORMAL: 通常の予測精度が期待できます
2023-01,2023-02,125.23297221508648,133.09,-5.903544807959672,18.531877254875933,18.85,-1.687653820286833,6.757705681551304,7.0604774535809,-4.288262005227952,1.0,No,,NORMAL: 通常の予測精度が期待できます
2023-02,2023-03,130.1583527597083,133.63,-2.5979549803874145,18.320817856539634,18.99,-3.5238659476585816,7.104396418266237,7.03686150605582,0.9597305866016715,1.0,No,,NORMAL: 通常の予測精度が期待できます
2023-03,2023-04,133.14223731966965,133.45,-0.2306202175573936,18.2049035339761,19.34,-5.869164767445188,7.313537095716227,6.90020682523268,5.990114223418354,1.0,No,,NORMAL: 通常の予測精度が期待できます
2023-04,2023-05,134.46190914520818,135.87,-1.0363515528018126,18.651937422725254,19.74,-5.511968476569121,7.209004946659413,6.88297872340426,4.736702470785846,1.0,No,,NORMAL: 通常の予測精度が期待できます
2023-05,2023-06,136.50412707676142,141.43,-3.482905269913445,19.34460861872034,23.54,-17.8223932934565,7.056442948381101,6.00807136788445,17.449386272283938,2.0,Yes,Turkish policy/election shock start,WARNING: 予測精度の低下が予想されます
2023-06,2023-07,143.30282042899182,141.25,1.4533241975163342,24.035517116550764,26.43,-9.059715790575995,5.962127618644579,5.34430571320469,11.560377317363724,2.0,Yes,Turkish policy/election shock peak,WARNING: 予測精度の低下が予想されます
2023-07,2023-08,143.1229556727452,145.31,-1.5050886568404074,27.647263757406737,26.92,2.7015741359834147,5.176749385710996,5.39784546805349,-4.09600615006535,2.0,Yes,Turkish policy/election shock continuation,WARNING: 予測精度の低下が予想されます
2023-08,2023-09,147.95399467784185,147.59,0.24662556937586882,28.376872239902482,26.99,5.138466987411945,5.213893674645176,5.46832160059281,-4.652760838353982,1.5,Yes,Turkish policy/election shock end,CAUTION: やや不確実性が高まっています
2023-09,2023-10,149.65664590725066,149.53,0.08469598558861903,27.21184731942047,27.86,-2.3264633186630594,5.499687108726505,5.36719310839914,2.4685901485457045,1.0,No,,NORMAL: 通常の予測精度が期待できます
2023-10,2023-11,152.34993638707752,151.65,0.46154723842895756,27.34964203598563,28.65,-4.5387712531042474,5.570454493942597,5.29319371727749,5.238062150646421,1.0,No,,NORMAL: 通常の予測精度が期待できます
